code;type_diplôme;q6_7;q6_8;q6_9a;q6_9b;q6_9c;q6_14_6
2;MASTER;2;11;14;;PONT-l'EVEQUE;Centre hospitalier public
4;MASTER;4;7;75;;PARIS;HITRONETIC
10;MASTER;2;10;75;;Paris;Ministère des Armées
14;MASTER;5;13;75;;Paris;Paris & Compagnie
15;MASTER;4;2;83;;toulon;Naval Group
16;MASTER;1;5;31;;TOULOUSE;SF CONSULTING
18;MASTER;4;7;95;;Saint Ouen L'aumone;merieux nutrisciences
19;MASTER;5;7;13;;Marseille;Protisvalor
22;MASTER;;2;13;;Gémenos;
24;MASTER;4;12;75;;Paris;Eugen Systems
25;MASTER;4;3;93;;pantin;UTD
26;MASTER;4;7;13;;marseille;
29;MASTER;4;4;44;;Nantes;SDVI
36;MASTER;2;9;34;;AGDE;Ministère de l'Education Nationale
37;MASTER;2;9;61;;Mortagne-au-perche;DSDEN
38;MASTER;4;7;92;;Gennevilliers;Galitt
39;MASTER;4;13;75;;Paris;ITW
41;MASTER;2;9;14;;Fleury sur orne;Education nationale 
43;MASTER;2;9;14;;Herouville ;Dsden14
48;MASTER;4;11;14;;caen;groupe privé
49;MASTER;2;9;14;;Caen;Université de caen
50;MASTER;5;11;14;;Saint André sur orne;APAEI Caen
52;MASTER;3;9;50;;CHERBOURG-EN-COTENTIN;CCIT NORMANDIE
54;MASTER;2;11;61;;FLERS;CLIC du Bocage
57;MASTER;4;2;14;;Vire;SAS Amand Gianic
58;MASTER;1;11;61;;Argentan;MJPM
60;MASTER;5;9;14;;Caen ;CFA PSS
61;MASTER;1;12;14;;colombelles;Chacun Cherche Son Film
63;MASTER;5;11;14;;VIMONT;Mutualité Française Normandie SAAM
64;MASTER;4;7;99;137;Luxembourg;EUROCOST INTERNATIONAL S.A.
65;MASTER;3;8;14;;caen;CRMA
66;MASTER;5;11;50;;Cherbourg;ANSH
73;MASTER;2;9;14;;Caen;education nationale
79;MASTER;2;11;50;;saint-lô;hôpital mémorial france états unis saint lô
80;MASTER;2;9;14;;Héouville st clair;Education nationale
81;MASTER;2;11;14;;Caen;CHU de Caen
82;MASTER;2;9;61;;Ferté-Macé;Lycée technologique et professionnel des Andaines
83;MASTER;2;11;14;;Falaise;CH de falaise
84;MASTER;2;11;14;;Vire;Centre hospitalier de Vire
86;MASTER;2;11;50;;Saint-Lô;Centre Hospitalier
88;MASTER;4;5;14;;Hérouville saint clair;Adventiel
89;MASTER;5;11;61;;Alençon;UDAF 61
91;MASTER;2;9;50;;saint-lô;education nationale
96;MASTER;4;8;75;;Paris ;Génération conseil 
98;MASTER;4;2;62;;Lens ;Matis technologie 
99;MASTER;2;10;14;;Caen ;
101;MASTER;2;11;14;;falaise;centre hospitalier de falaise 
108;MASTER;5;11;76;;BIHOREL;CENTRE SOCIAL ETIENNE PERNET
116;MASTER;2;12;14;;Caen;Musée des Beaux-Arts Musée de Normandie
120;MASTER;4;5;14;;Caen;
126;MASTER;4;4;75;;Paris;SYSTRA
128;MASTER;4;13;94;;Le perreux sur marne;Viamédis
129;MASTER;1;8;27;;BEAUMONT LE ROGER;ANNICK MALO
130;MASTER;2;7;94;;Palaiseau;CNRS
133;MASTER;2;10;74;;FILLINGES;CC4R
137;MASTER;1;5;14;;Caen;Mon propre entreprise
139;MASTER;2;4;99;341;DAKAR;KHOURY TRANSPORTS S.A
145;MASTER;5;11;14;;Caen;Acahj
147;MASTER;1;11;61;;FLERS;
152;MASTER;4;11;27;;Pont Audemer;La maison familiale
154;MASTER;4;2;27;;Val de reuil;JOHNSON and Johnson santé beauté France 
155;MASTER;4;9;60;;chantilly;INFA
157;MASTER;1;8;78;;Versailles;Facil'pme
159;MASTER;2;9;14;;lisieux;LPO Paul Cornu Lisieux
169;MASTER;3;9;14;;Saint Pierre sur Dives;Enseignement agricole
173;MASTER;;;99;109;;
178;MASTER;4;4;14;;Fleury-sur-Orne;
188;MASTER;4;13;35;;Rennes;Capgemini TS
189;MASTER;4;13;14;;Soliers;ASAD Normandie
192;MASTER;2;11;50;;coutances;ccas de coutances epad constanciat
